Moderate Positive Skew,Highly Positive Skew,Moderate Negative Skew,Highly Negative Skew
0.899990324,2.895073786,11.18074757,9.027484718
1.1135538,2.962384883,10.84293804,9.009761974
1.156830061,2.966377528,10.81793375,9.006134119
1.264130883,3.000323728,10.76456973,9.000125381
1.323914336,3.012108871,10.75311685,8.981296134
1.342576932,3.01813753,10.7206792,8.977753897
1.359727285,3.026771094,10.71835752,8.969744345
1.404695892,3.028970425,10.66774101,8.96233499
1.409987583,3.045470608,10.65886077,8.957279461
1.420834503,3.047524877,10.6434653,8.950892207
1.517780568,3.057654069,10.64010178,8.950248614
1.526018161,3.057836177,10.58222742,8.943997921
1.574709127,3.058379955,10.56989581,8.94005272
1.579404752,3.061771105,10.55197286,8.937017069
1.601534175,3.066731158,10.5426547,8.925590929
1.632611312,3.075216784,10.53721036,8.925331873
1.641438092,3.076040338,10.5086713,8.923691344
1.661322411,3.076369076,10.50197678,8.922803426
1.664076844,3.08107611,10.49954008,8.919253816
1.686933512,3.1053906,10.49228476,8.9190137
1.691226949,3.109183328,10.49216078,8.913085375
1.727666466,3.112826668,10.40632368,8.91240815
1.733261065,3.117901138,10.39765388,8.911422669
1.743704408,3.126974101,10.37912793,8.910766127
1.745540542,3.12994061,10.37243778,8.908916199
1.762265054,3.132482133,10.37239359,8.906953915
1.762504764,3.136414992,10.36673969,8.904105636
1.766044351,3.147068824,10.35222686,8.899912788
1.79191137,3.149993698,10.32522694,8.898993581
1.803202886,3.152385984,10.31212476,8.894959077
1.830432378,3.152392074,10.29992902,8.894464163
1.843503433,3.16206039,10.2611029,8.892172874
1.845153713,3.163162357,10.25963603,8.88875356
1.847564921,3.163782484,10.2545672,8.882320384
1.854189077,3.16511977,10.24680703,8.878490522
1.863928922,3.169878364,10.23565202,8.872798173
1.887432577,3.173849421,10.23519938,8.87188382
1.892959603,3.182660785,10.23506106,8.867901224
1.895900269,3.184870713,10.22858894,8.863936276
1.897871691,3.190352531,10.20165264,8.86331845
1.905852592,3.199429723,10.18593061,8.857124237
1.909321716,3.201288425,10.17867527,8.854922682
1.910356072,3.206738934,10.16792767,8.848115017
1.920354823,3.211202581,10.15812225,8.841322477
1.921203213,3.213194898,10.15521217,8.840911077
1.930846593,3.21559155,10.1455061,8.84033972
1.931008412,3.218616773,10.1447799,8.838809545
1.931680176,3.21914408,10.13234925,8.833646719
1.936580164,3.222420994,10.11070762,8.829166649
1.937599035,3.225109901,10.11038365,8.826309999
1.942701304,3.225601971,10.09641062,8.81539537
